WY	date	CoalCreek reg
2008	1/25/2008	0.084
2008	1/26/2008	0.077
2008	1/27/2008	0.077
2008	1/28/2008	0.084
2008	1/29/2008	0.069
2008	1/30/2008	0.077
2008	1/31/2008	0.069
2008	2/1/2008	0.092
2008	2/2/2008	0.084
2008	2/3/2008	0.084
2008	2/4/2008	0.080
2008	2/5/2008	0.080
2008	2/6/2008	0.069
2008	2/7/2008	0.069
2008	2/8/2008	0.073
2008	2/9/2008	0.077
2008	2/10/2008	0.073
2008	2/11/2008	0.073
2008	2/12/2008	0.073
2008	2/13/2008	0.073
2008	2/14/2008	0.073
2008	2/15/2008	0.073
2008	2/16/2008	0.073
2008	2/17/2008	0.069
2008	2/18/2008	0.069
2008	2/19/2008	0.069
2008	2/20/2008	0.077
2008	2/21/2008	0.073
2008	2/22/2008	0.073
2008	2/23/2008	0.069
2008	2/24/2008	0.073
2008	2/25/2008	0.077
2008	2/26/2008	0.073
2008	2/27/2008	0.073
2008	2/28/2008	0.080
2008	2/29/2008	0.084
2008	3/1/2008	0.092
2008	3/2/2008	0.100
2008	3/3/2008	0.080
2008	3/4/2008	0.084
2008	3/5/2008	0.080
2008	3/6/2008	0.077
2008	3/7/2008	0.080
2008	3/8/2008	0.080
2008	3/9/2008	0.077
2008	3/10/2008	0.073
2008	3/11/2008	0.073
2008	3/12/2008	0.073
2008	3/13/2008	0.073
2008	3/14/2008	0.073
2008	3/15/2008	0.069
2008	3/16/2008	0.065
2008	3/17/2008	0.069
2008	3/18/2008	0.069
2008	3/19/2008	0.073
2008	3/20/2008	0.073
2008	3/21/2008	0.073
2008	3/22/2008	0.073
2008	3/23/2008	0.073
2008	3/24/2008	0.080
2008	3/25/2008	0.084
2008	3/26/2008	0.092
2008	3/27/2008	0.103
2008	3/28/2008	0.100
2008	3/29/2008	0.100
2008	3/30/2008	0.100
2008	3/31/2008	0.119
2008	4/1/2008	0.088
2008	4/2/2008	0.084
2008	4/3/2008	0.088
2008	4/4/2008	0.080
2008	4/5/2008	0.092
2008	4/6/2008	0.084
2008	4/7/2008	0.088
2008	4/8/2008	0.080
2008	4/9/2008	0.088
2008	4/10/2008	0.088
2008	4/11/2008	0.084
2008	4/12/2008	0.080
2008	4/13/2008	0.096
2008	4/14/2008	0.111
2008	4/15/2008	0.134
2008	4/16/2008	0.166
2008	4/17/2008	0.199
2008	4/18/2008	0.162
2008	4/19/2008	0.232
2008	4/20/2008	0.314
2008	4/21/2008	0.400
2008	4/22/2008	0.584
2008	4/23/2008	0.828
2008	4/24/2008	0.999
2008	4/25/2008	0.953
2008	4/26/2008	0.816
2008	4/27/2008	0.828
2008	4/28/2008	1.053
2008	4/29/2008	1.399
2008	4/30/2008	1.758
2008	5/1/2008	1.845
2008	5/2/2008	1.295
2008	5/3/2008	1.011
2008	5/4/2008	0.941
2008	5/5/2008	1.071
2008	5/6/2008	1.506
2008	5/7/2008	2.256
2008	5/8/2008	3.139
2008	5/9/2008	2.441
2008	5/10/2008	2.280
2008	5/11/2008	1.904
2008	5/12/2008	2.392
2008	5/13/2008	2.499
2008	5/14/2008	2.376
2008	5/15/2008	3.005
2008	5/16/2008	3.704
2008	5/17/2008	4.744
2008	5/18/2008	6.726
2008	5/19/2008	8.236
2008	5/20/2008	10.617
2008	5/21/2008	12.760
2008	5/22/2008	11.748
2008	5/23/2008	6.152
2008	5/24/2008	3.802
2008	5/25/2008	2.934
2008	5/26/2008	2.951
2008	5/27/2008	3.464
2008	5/28/2008	5.008
2008	5/29/2008	6.104
2008	5/30/2008	7.297
2008	5/31/2008	8.180
2008	6/1/2008	9.391
2008	6/2/2008	11.095
2008	6/3/2008	12.249
2008	6/4/2008	10.303
2008	6/5/2008	7.564
2008	6/6/2008	5.520
2008	6/7/2008	5.696
2008	6/8/2008	6.841
2008	6/9/2008	5.850
2008	6/10/2008	5.755
2008	6/11/2008	7.035
2008	6/12/2008	5.416
2008	6/13/2008	4.031
2008	6/14/2008	4.466
2008	6/15/2008	5.874
2008	6/16/2008	7.631
2008	6/17/2008	8.993
2008	6/18/2008	9.540
2008	6/19/2008	9.995
2008	6/20/2008	8.949
2008	6/21/2008	8.138
2008	6/22/2008	7.591
2008	6/23/2008	6.970
2008	6/24/2008	6.650
2008	6/25/2008	6.524
2008	6/26/2008	6.486
2008	6/27/2008	5.839
2008	6/28/2008	5.359
2008	6/29/2008	5.199
2008	6/30/2008	5.336
2008	7/1/2008	5.199
2008	7/2/2008	4.540
2008	7/3/2008	3.931
2008	7/4/2008	3.473
2008	7/5/2008	3.388
2008	7/6/2008	3.040
2008	7/7/2008	2.890
2008	7/8/2008	2.474
2008	7/9/2008	2.085
2008	7/10/2008	1.918
2008	7/11/2008	1.765
2008	7/12/2008	1.637
2008	7/13/2008	1.493
2008	7/14/2008	1.301
2008	7/15/2008	1.219
2008	7/16/2008	1.144
2008	7/17/2008	1.126
